Original Docket Text,Removed unnecessary POS & vocab,Removed unnecessary POS & vocab DT,DT Topics,Apply Trigram Phrase Model
"TRANSCRIPT of Proceedings re: CONFERENCE held on 9/12/2012 before Magistrate Judge Frank Maas. Court Reporter/Transcriber: Carol Ganley, (212) 805-0300. Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER. Redaction Request due 2/4/2013. Redacted Transcript Deadline set for 2/14/2013. Release of Transcript Restriction set for 4/15/2013.(Rodriguez, Somari) (Entered: 01/10/2013)",conference hold reporter transcriber view public terminal purchase reporter transcriber deadline release obtain pacer redaction request due redact deadline release,,"Others, Motions",
"NOTICE OF FILING OF OFFICIAL TRANSCRIPT Notice is hereby given that an official transcript of a CONFERENCE proceeding held on 9/12/12 has been filed by the court reporter/transcriber in the above-captioned matter. The parties have seven (7) calendar days to file with the court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript may be made remotely electronically available to the public without redaction after 90 calendar days...(Rodriguez, Somari) (Entered: 01/10/2013)",notice official notice give official conference proceed hold reporter transcriber abovecaptioned calendar notice intent request redaction notice remotely electronically available public without redaction calendar,,"Notices, Others, Motions",
SEALED DOCUMENT placed in vault.(nm) (Entered: 01/10/2013),place vault,place vault,,
"Please be advised that Judge Abrams Courtroom and Chambers have been moved to the Thurgood Marshall United States Courthouse located at 40 Foley Square, New York, New York 10007. Effective immediately, all proceedings before the Court will take place in Courtroom 1506, and the Courts Chambers located in Room 2203, of 40 Foley Square. The Courts other contact information, as set forth in the Courts Individual Rules and Practices, available at http://www.nysd.uscourts.gov/judge/Abrams, remains the same. (arc) (Entered: 02/04/2013)",please advise abrams courtroom move thurgood marshall united courthouse locate foley square new york new york effective immediately place courtroom locate room foley square contact individual rule practice available http www nysd uscourts gov abrams,please advise abrams courtroom move thurgood marshall united courthouse locate foley square new york new york effective immediately place courtroom locate room foley square contact individual rule practice available http www nysd uscourts gov abrams,,please advise abrams courtroom move thurgood marshall united courthouse locate foley square effective immediately place courtroom locate room foley square contact individual rule practice available http www nysd uscourts_gov abrams
"MOTION for Andrew John Estes and Simona Gory to Withdraw as Attorney for AIG Financial Products Corp. and American International Group, Inc.. Document filed by AIG Financial Products Corp., American International Group, Inc..(Carlinsky, Michael) (Entered: 02/06/2013)",motion withdraw inc inc,,Motions,
"MEMO ENDORSEMENT granting 204 MOTION FOR LEAVE TO WITHDRAW ANDREW J. ESTES AND SIMONA GORY AS COUNSEL FOR AIG FINANCIAL PRODUCTS CORP. AND AMERICAN INTERNATIONAL GROUP, INC. ENDORSEMENT: Application granted. So ordered. (Signed by Magistrate Judge Frank Maas on 2/7/2013) (mro) (Entered: 02/08/2013)",memo endorsement grant motion leave withdraw simona gory american international group inc endorsement grant order,,Motions,
"SIXTH REVISED SCHEDULING ORDER: Expert Discovery due by 10/11/2013. Parties may make post-discovery dispositive motions in accordance with the Court's Individual Practices and the following schedule: a. Parties must serve moving papers, if any, by November 4, 2013. b. Parties must serve opposition papers, if any, by December 4,2013. c. Parties must serve reply papers, if any, by December 24, 2013. (Signed by Magistrate Judge Frank Maas on 2/27/2013) (djc) Modified on 2/27/2013 (djc). (Entered: 02/27/2013)",sixth revise schedule order discovery due postdiscovery dispositive motion accordance individual practice schedule serve move serve opposition c serve reply,,Other Answers,
"ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Brian J. Fischer dated 4/16/2013 re: We represent the plaintiffs (""Brookfield"") in the above-captioned matter. We write pursuant to Rule 2.A of Your Honor's Individual Practices and Local Civil Rule 37.2 to request an informal conference to address disputed terms of an agreement the parties reached earlier this year that was intended to resolve a discovery dispute. ENDORSEMENT: The Court will hold a telephone conference to discuss this issue on 4/23 at 10 a.m. Plaintiff's counsel should initiate the call. ( Telephone Conference set for 4/23/2013 at 10:00 AM before Magistrate Judge Frank Maas.) (Signed by Magistrate Judge Frank Maas on 4/16/2013) (djc) (Entered: 04/17/2013)",endorsed letter address represent abovecaptioned rule individual practice local civil rule request informal conference address dispute term reach earlier year intend resolve discovery dispute endorsement hold telephone conference discuss initiate call,,"Others, Motions",
"ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Brian J. Fischer dated 4/17/2013 re: We represent the plaintiffs (""Brookfield"") in the above-captioned matter. We write regarding our letter to Your Honor dated April 16, 2013, regarding disputed terms of an agreement the parties reached earlier this year that was intended to resolve a discovery dispute. Following our submission of that letter to the Court, the parties conferred and have resolved this issue. Accordingly, we request that the Court disregard the April 16 letter and cancel the informal conference now scheduled with Your Honor for April 23, 2013, at 10:00 a.m. ENDORSEMENT: Done! (Signed by Magistrate Judge Frank Maas on 4/17/2013) (djc) (Entered: 04/17/2013)",endorsed letter address represent abovecaptioned letter dispute term reach earlier year intend resolve discovery dispute letter confer resolved request disregard letter cancel informal conference schedule endorsement do,,"Others, Motions",
"MOTION for Randall T. Adams to Withdraw as Attorney for Plaintiffs. Document filed by Brookfield Asset Management, Inc., Brysons International, Ltd..(Adams, Randall) (Entered: 05/17/2013)",motion withdraw ltd,,Motions,
MEMO ENDORSEMENT ON MOTION FOR LEAVE TO WITHDRAW RANDALL T. ADAMS AS COUNSEL FOR PLAINTIFFS: ENDORSEMENT: APPLICATION GRANTED. granting 209 Motion to Withdraw as Attorney. Attorney Randall Thomas Adams terminated. (Signed by Magistrate Judge Frank Maas on 5/20/2013) (djc) (Entered: 05/20/2013),memo endorsement motion leave withdraw endorsement grant grant motion withdraw terminate,,Motions,
"MOTION for Joseph P. Fishman to Withdraw as Attorney. Document filed by Brookfield Asset Management, Inc., Brysons International, Ltd.. (Attachments: # 1 Certificate of Service)(Fishman, Joseph) (Entered: 06/27/2013)",motion withdraw ltd,,Motions,
MEMO ENDORSED on MOTION FOR LEAVE TO WITHDRAW JOSEPH P. FISHMAN AS COUNSEL FOR PLAINTIFFS granting 211 Motion to Withdraw as Attorney. ENDORSEMENT: APPLICATION GRANTED SO ORDERED. Attorney Joseph Peretz Fishman terminated (Signed by Magistrate Judge Frank Maas on 6/28/2013) (rsh) (Entered: 06/28/2013),memo endorse motion leave withdraw grant motion withdraw endorsement grant order terminate,,Motions,
"ENDORSED LETTER addressed to Judge Ronnie Abrams from Richard F. Ziegler dated 7/9/2013 re: Now that my colleague Jacob Tracer has accepted a clerkship with Your Honor beginning in 2015, I'm writing to seek the Court's permission to let Jake continue to work for a little while longer on the matter this firm is handling that is on Your Honor's docket (Brookfield Asset Management, Inc. et ano v. AIG Financial Products Corp. et ano., 09-cv-8285). ENDORSEMENT: In light of AIG's consent to Brookfield's request, Mr. Tracer, whose clerkship will commence in the fall of 2015, may continue to work on this matter through the submission of the parties' summary judgment motion papers. (Signed by Judge Ronnie Abrams on 7/11/2013) (lmb) (Entered: 07/11/2013)",endorsed letter address colleague accept clerkship begin permission let continue work little longer firm handle endorsement light consent request mr whose clerkship commence fall continue work summary judgment motion,,"Others, Motions",
"Minute Entry for proceedings held before Magistrate Judge Frank Maas: Telephone Conference held on 8/12/2013. (Chambers, Richalyn) (Entered: 08/15/2013)",minute entry hold telephone conference hold,,Motions,
